NA         RNTST        Running test can_arb_burst_test...
NA         CAN_SB_TXN   id=0x100 dlc=2 bytes=2 attempt=0 data=a0 10  | ack_seen=1 ack_driven=0 crc_err=0 form=0 stuff=0 | PASS
NA         CAN_SB_TXN   id=0x100 dlc=2 bytes=2 attempt=0 data=a0 10  | ack_seen=1 ack_driven=1 crc_err=0 form=0 stuff=0 | PASS
NA         CAN_SB_TXN   id=0x100 dlc=2 bytes=2 attempt=0 data=a0 10  | ack_seen=1 ack_driven=1 crc_err=0 form=0 stuff=0 | PASS
NA         CAN_SB_TXN   id=0x188 dlc=2 bytes=2 attempt=0 data=a1 11  | ack_seen=1 ack_driven=1 crc_err=0 form=0 stuff=0 | PASS
NA         CAN_SB_TXN   id=0x188 dlc=2 bytes=2 attempt=0 data=a1 11  | ack_seen=1 ack_driven=0 crc_err=0 form=0 stuff=0 | PASS
NA         CAN_SB_TXN   id=0x188 dlc=2 bytes=2 attempt=0 data=a1 11  | ack_seen=1 ack_driven=1 crc_err=0 form=0 stuff=0 | PASS
NA         CAN_SB_TXN   id=0x190 dlc=2 bytes=2 attempt=0 data=a2 12  | ack_seen=1 ack_driven=1 crc_err=0 form=0 stuff=0 | PASS
NA         CAN_SB_TXN   id=0x190 dlc=2 bytes=2 attempt=0 data=a2 12  | ack_seen=1 ack_driven=1 crc_err=0 form=0 stuff=0 | PASS
NA         CAN_SB_TXN   id=0x190 dlc=2 bytes=2 attempt=0 data=a2 12  | ack_seen=1 ack_driven=0 crc_err=0 form=0 stuff=0 | PASS
NA         CAN_SB_TXN   id=0x101 dlc=2 bytes=2 attempt=0 data=a1 11  | ack_seen=1 ack_driven=1 crc_err=0 form=0 stuff=0 | PASS
NA         CAN_SB_TXN   id=0x101 dlc=2 bytes=2 attempt=0 data=a1 11  | ack_seen=1 ack_driven=0 crc_err=0 form=0 stuff=0 | PASS
NA         CAN_SB_TXN   id=0x101 dlc=2 bytes=2 attempt=0 data=a1 11  | ack_seen=1 ack_driven=1 crc_err=0 form=0 stuff=0 | PASS
NA         CAN_SB_TXN   id=0x181 dlc=2 bytes=2 attempt=0 data=a0 10  | ack_seen=1 ack_driven=0 crc_err=0 form=0 stuff=0 | PASS
NA         CAN_SB_TXN   id=0x181 dlc=2 bytes=2 attempt=0 data=a0 10  | ack_seen=1 ack_driven=1 crc_err=0 form=0 stuff=0 | PASS
NA         CAN_SB_TXN   id=0x181 dlc=2 bytes=2 attempt=0 data=a0 10  | ack_seen=1 ack_driven=1 crc_err=0 form=0 stuff=0 | PASS
NA         CAN_SB_TXN   id=0x191 dlc=2 bytes=2 attempt=0 data=a2 12  | ack_seen=1 ack_driven=1 crc_err=0 form=0 stuff=0 | PASS
NA         CAN_SB_TXN   id=0x191 dlc=2 bytes=2 attempt=0 data=a2 12  | ack_seen=1 ack_driven=1 crc_err=0 form=0 stuff=0 | PASS
NA         CAN_SB_TXN   id=0x191 dlc=2 bytes=2 attempt=0 data=a2 12  | ack_seen=1 ack_driven=0 crc_err=0 form=0 stuff=0 | PASS
NA         CAN_SB_TXN   id=0x102 dlc=2 bytes=2 attempt=0 data=a2 12  | ack_seen=1 ack_driven=1 crc_err=0 form=0 stuff=0 | PASS
NA         CAN_SB_TXN   id=0x102 dlc=2 bytes=2 attempt=0 data=a2 12  | ack_seen=1 ack_driven=1 crc_err=0 form=0 stuff=0 | PASS
NA         CAN_SB_TXN   id=0x102 dlc=2 bytes=2 attempt=0 data=a2 12  | ack_seen=1 ack_driven=0 crc_err=0 form=0 stuff=0 | PASS
NA         CAN_SB_TXN   id=0x182 dlc=2 bytes=2 attempt=0 data=a0 10  | ack_seen=1 ack_driven=0 crc_err=0 form=0 stuff=0 | PASS
NA         CAN_SB_TXN   id=0x182 dlc=2 bytes=2 attempt=0 data=a0 10  | ack_seen=1 ack_driven=1 crc_err=0 form=0 stuff=0 | PASS
NA         CAN_SB_TXN   id=0x182 dlc=2 bytes=2 attempt=0 data=a0 10  | ack_seen=1 ack_driven=1 crc_err=0 form=0 stuff=0 | PASS
NA         CAN_SB_TXN   id=0x18a dlc=2 bytes=2 attempt=0 data=a1 11  | ack_seen=1 ack_driven=1 crc_err=0 form=0 stuff=0 | PASS
NA         CAN_SB_TXN   id=0x18a dlc=2 bytes=2 attempt=0 data=a1 11  | ack_seen=1 ack_driven=0 crc_err=0 form=0 stuff=0 | PASS
NA         CAN_SB_TXN   id=0x18a dlc=2 bytes=2 attempt=0 data=a1 11  | ack_seen=1 ack_driven=1 crc_err=0 form=0 stuff=0 | PASS
NA         CAN_SB_TXN   id=0x103 dlc=2 bytes=2 attempt=0 data=a0 10  | ack_seen=1 ack_driven=0 crc_err=0 form=0 stuff=0 | PASS
NA         CAN_SB_TXN   id=0x103 dlc=2 bytes=2 attempt=0 data=a0 10  | ack_seen=1 ack_driven=1 crc_err=0 form=0 stuff=0 | PASS
NA         CAN_SB_TXN   id=0x103 dlc=2 bytes=2 attempt=0 data=a0 10  | ack_seen=1 ack_driven=1 crc_err=0 form=0 stuff=0 | PASS
NA         CAN_SB_TXN   id=0x18b dlc=2 bytes=2 attempt=0 data=a1 11  | ack_seen=1 ack_driven=1 crc_err=0 form=0 stuff=0 | PASS
NA         CAN_SB_TXN   id=0x18b dlc=2 bytes=2 attempt=0 data=a1 11  | ack_seen=1 ack_driven=0 crc_err=0 form=0 stuff=0 | PASS
NA         CAN_SB_TXN   id=0x18b dlc=2 bytes=2 attempt=0 data=a1 11  | ack_seen=1 ack_driven=1 crc_err=0 form=0 stuff=0 | PASS
NA         CAN_SB_TXN   id=0x193 dlc=2 bytes=2 attempt=0 data=a2 12  | ack_seen=1 ack_driven=1 crc_err=0 form=0 stuff=0 | PASS
NA         CAN_SB_TXN   id=0x193 dlc=2 bytes=2 attempt=0 data=a2 12  | ack_seen=1 ack_driven=1 crc_err=0 form=0 stuff=0 | PASS
NA         CAN_SB_TXN   id=0x193 dlc=2 bytes=2 attempt=0 data=a2 12  | ack_seen=1 ack_driven=0 crc_err=0 form=0 stuff=0 | PASS
NA         CAN_SB_TXN   id=0x104 dlc=2 bytes=2 attempt=0 data=a1 11  | ack_seen=1 ack_driven=1 crc_err=0 form=0 stuff=0 | PASS
NA         CAN_SB_TXN   id=0x104 dlc=2 bytes=2 attempt=0 data=a1 11  | ack_seen=1 ack_driven=0 crc_err=0 form=0 stuff=0 | PASS
NA         CAN_SB_TXN   id=0x104 dlc=2 bytes=2 attempt=0 data=a1 11  | ack_seen=1 ack_driven=1 crc_err=0 form=0 stuff=0 | PASS
NA         CAN_SB_TXN   id=0x184 dlc=2 bytes=2 attempt=0 data=a0 10  | ack_seen=1 ack_driven=0 crc_err=0 form=0 stuff=0 | PASS
NA         CAN_SB_TXN   id=0x184 dlc=2 bytes=2 attempt=0 data=a0 10  | ack_seen=1 ack_driven=1 crc_err=0 form=0 stuff=0 | PASS
NA         CAN_SB_TXN   id=0x184 dlc=2 bytes=2 attempt=0 data=a0 10  | ack_seen=1 ack_driven=1 crc_err=0 form=0 stuff=0 | PASS
NA         CAN_SB_TXN   id=0x194 dlc=2 bytes=2 attempt=0 data=a2 12  | ack_seen=1 ack_driven=1 crc_err=0 form=0 stuff=0 | PASS
NA         CAN_SB_TXN   id=0x194 dlc=2 bytes=2 attempt=0 data=a2 12  | ack_seen=1 ack_driven=1 crc_err=0 form=0 stuff=0 | PASS
NA         CAN_SB_TXN   id=0x194 dlc=2 bytes=2 attempt=0 data=a2 12  | ack_seen=1 ack_driven=0 crc_err=0 form=0 stuff=0 | PASS
NA         CAN_SB       Scoreboard summary: Pass=15 Fail=0
NA         CAN_SB_TXN      45
