UVM_INFO /home/users4/fl892838/can_uvm_project/tb/env/can_scoreboard.sv(201) @ 7630000: uvm_test_top.m_env.c_sb [CAN_SB_TXN] TIME=7630000 | node=0 | EXP=CAN[STD ] id=0x100 dlc=2 bytes=2 attempt=1 data=a0 10  | ack_seen=1 ack_driven=0 crc_err=0 form=0 stuff=0 | OBS=CAN[STD ] id=0x100 dlc=2 bytes=2 attempt=0 data=a0 10  | ack_seen=1 ack_driven=0 crc_err=0 form=0 stuff=0 | PASS
UVM_INFO /home/users4/fl892838/can_uvm_project/tb/env/can_scoreboard.sv(201) @ 7630000: uvm_test_top.m_env.c_sb [CAN_SB_TXN] TIME=7630000 | node=1 | EXP=CAN[STD ] id=0x100 dlc=2 bytes=2 attempt=1 data=a0 10  | ack_seen=1 ack_driven=0 crc_err=0 form=0 stuff=0 | OBS=CAN[STD ] id=0x100 dlc=2 bytes=2 attempt=0 data=a0 10  | ack_seen=1 ack_driven=1 crc_err=0 form=0 stuff=0 | PASS
UVM_INFO /home/users4/fl892838/can_uvm_project/tb/env/can_scoreboard.sv(201) @ 7630000: uvm_test_top.m_env.c_sb [CAN_SB_TXN] TIME=7630000 | node=2 | EXP=CAN[STD ] id=0x100 dlc=2 bytes=2 attempt=1 data=a0 10  | ack_seen=1 ack_driven=0 crc_err=0 form=0 stuff=0 | OBS=CAN[STD ] id=0x100 dlc=2 bytes=2 attempt=0 data=a0 10  | ack_seen=1 ack_driven=1 crc_err=0 form=0 stuff=0 | PASS
UVM_INFO /home/users4/fl892838/can_uvm_project/tb/env/can_scoreboard.sv(201) @ 13970000: uvm_test_top.m_env.c_sb [CAN_SB_TXN] TIME=13970000 | node=0 | EXP=CAN[STD ] id=0x188 dlc=2 bytes=2 attempt=2 data=a1 11  | ack_seen=1 ack_driven=0 crc_err=0 form=0 stuff=0 | OBS=CAN[STD ] id=0x188 dlc=2 bytes=2 attempt=0 data=a1 11  | ack_seen=1 ack_driven=1 crc_err=0 form=0 stuff=0 | PASS
UVM_INFO /home/users4/fl892838/can_uvm_project/tb/env/can_scoreboard.sv(201) @ 13970000: uvm_test_top.m_env.c_sb [CAN_SB_TXN] TIME=13970000 | node=1 | EXP=CAN[STD ] id=0x188 dlc=2 bytes=2 attempt=2 data=a1 11  | ack_seen=1 ack_driven=0 crc_err=0 form=0 stuff=0 | OBS=CAN[STD ] id=0x188 dlc=2 bytes=2 attempt=0 data=a1 11  | ack_seen=1 ack_driven=0 crc_err=0 form=0 stuff=0 | PASS
UVM_INFO /home/users4/fl892838/can_uvm_project/tb/env/can_scoreboard.sv(201) @ 13970000: uvm_test_top.m_env.c_sb [CAN_SB_TXN] TIME=13970000 | node=2 | EXP=CAN[STD ] id=0x188 dlc=2 bytes=2 attempt=2 data=a1 11  | ack_seen=1 ack_driven=0 crc_err=0 form=0 stuff=0 | OBS=CAN[STD ] id=0x188 dlc=2 bytes=2 attempt=0 data=a1 11  | ack_seen=1 ack_driven=1 crc_err=0 form=0 stuff=0 | PASS
UVM_INFO /home/users4/fl892838/can_uvm_project/tb/env/can_scoreboard.sv(201) @ 20410000: uvm_test_top.m_env.c_sb [CAN_SB_TXN] TIME=20410000 | node=0 | EXP=CAN[STD ] id=0x190 dlc=2 bytes=2 attempt=3 data=a2 12  | ack_seen=1 ack_driven=0 crc_err=0 form=0 stuff=0 | OBS=CAN[STD ] id=0x190 dlc=2 bytes=2 attempt=0 data=a2 12  | ack_seen=1 ack_driven=1 crc_err=0 form=0 stuff=0 | PASS
UVM_INFO /home/users4/fl892838/can_uvm_project/tb/env/can_scoreboard.sv(201) @ 20410000: uvm_test_top.m_env.c_sb [CAN_SB_TXN] TIME=20410000 | node=1 | EXP=CAN[STD ] id=0x190 dlc=2 bytes=2 attempt=3 data=a2 12  | ack_seen=1 ack_driven=0 crc_err=0 form=0 stuff=0 | OBS=CAN[STD ] id=0x190 dlc=2 bytes=2 attempt=0 data=a2 12  | ack_seen=1 ack_driven=1 crc_err=0 form=0 stuff=0 | PASS
UVM_INFO /home/users4/fl892838/can_uvm_project/tb/env/can_scoreboard.sv(201) @ 20410000: uvm_test_top.m_env.c_sb [CAN_SB_TXN] TIME=20410000 | node=2 | EXP=CAN[STD ] id=0x190 dlc=2 bytes=2 attempt=3 data=a2 12  | ack_seen=1 ack_driven=0 crc_err=0 form=0 stuff=0 | OBS=CAN[STD ] id=0x190 dlc=2 bytes=2 attempt=0 data=a2 12  | ack_seen=1 ack_driven=0 crc_err=0 form=0 stuff=0 | PASS
UVM_INFO /home/users4/fl892838/can_uvm_project/tb/env/can_scoreboard.sv(201) @ 307530000: uvm_test_top.m_env.c_sb [CAN_SB_TXN] TIME=307530000 | node=0 | EXP=CAN[STD ] id=0x101 dlc=2 bytes=2 attempt=3 data=a1 11  | ack_seen=1 ack_driven=0 crc_err=0 form=0 stuff=0 | OBS=CAN[STD ] id=0x101 dlc=2 bytes=2 attempt=0 data=a1 11  | ack_seen=1 ack_driven=1 crc_err=0 form=0 stuff=0 | PASS
UVM_INFO /home/users4/fl892838/can_uvm_project/tb/env/can_scoreboard.sv(201) @ 307530000: uvm_test_top.m_env.c_sb [CAN_SB_TXN] TIME=307530000 | node=1 | EXP=CAN[STD ] id=0x101 dlc=2 bytes=2 attempt=3 data=a1 11  | ack_seen=1 ack_driven=0 crc_err=0 form=0 stuff=0 | OBS=CAN[STD ] id=0x101 dlc=2 bytes=2 attempt=0 data=a1 11  | ack_seen=1 ack_driven=0 crc_err=0 form=0 stuff=0 | PASS
